"","Treated","5","4","3","2","1","OECD Sample"
"GDP per-capita",95.6,95.6,95.6,95.6,95.8,94.6,8021.1
"Trade openness",56.8,59.3,59.1,59.7,60.7,74.6,31.9
"Inflation rate",2.6,4.3,3.9,3.4,3.1,3.5,7.4
"Industry share",34.5,35.6,35.8,36.8,36.6,35.5,34.2
"Schooling",55.5,53.9,54,53.8,55.5,60.9,44.1
"Investment rate",27,27.5,27.5,28.1,28.9,26.6,25.9
